product_id	product_type_name	product_name	encoded_product_id
131068	Koffieapparaten Espresso Volautomatisch	DeLonghi ECAM22.110B Magnifica	595
131069	Koffieapparaten Espresso Volautomatisch	DeLonghi ECAM22.110SB MagnificaS	348
223987	Wekkers	Philips Wake-up Light HF3510/01	249
226790	Staafmixers	Bosch MSM67170 ErgoMixx Staafmixer	999
226861	Scheerapparaten	Braun Series 5 5030s	893
233180	Kabel converters	Apple Lightning Digital AV Adapter	655
234250	Kruimeldieven	Philips FC6149/01	470
296946	Soundbars	SONOS PLAYBAR	695
331576	Mobiele telefoons	Fysic Big Button Comfort FM-7500 Zwart	781
338654	powerline adapters	TP-Link TL-PA4010P Starter Kit	977
360908	Harde schijven extern	WD Elements Portable 1 TB	558
360926	Harde schijven extern	WD Elements Portable 2 TB	301
367153	Magnetrons	Sharp R-931 INW	589
367334	Magnetrons	Sharp R-961 INW	849
367896	Vaste telefoons	Panasonic KX-TG6823	921
377733	Prullenbakken	Hailo Tandem de Luxe 2x15 liter	870
382968	Koffieapparaten Cups & Pads	Krups Dolce Gusto Genio 2 Zwart KP1608	500
382976	Koffieapparaten Cups & Pads	Krups Dolce Gusto Genio 2 Titan KP160T	825
388261	powerline adapters	TP-Link TL-WPA4220TKIT Network Kit	862
394007	Koelkasten	Samsung RB29FERNCSA/EF	430
432426	Koffieapparaten Cups & Pads	Magimix Nespresso Inissia Zwart M105	584
440048	Home cinema sets	Sony BDV-N7200W	631
450254	Magnetrons	Samsung MC28H5015AW/EF	292
450265	Magnetrons	Samsung MC28H5015AK/EF	168
467628	Koelkasten	Siemens KI81RAD30	915
473038	Audiostreamers	Logitech Bluetooth Audio Adapter	796
480045	Vaste telefoons	Gigaset AL220A Duo Zwart	922
507807	Stofzuigers	Philips FC8723/09 Performer Expert	650
515409	Afkortzagen	Metabo KGS 216 M Afkortzaag	793
517548	Afkortzagen	Metabo KGS 254 M Afkortzaag	829
536575	Slowcookers	Crock-Pot Slowcooker 4,7 L	128
543598	Koffieapparaten Espresso Volautomatisch	DeLonghi ECAM20.110.B Magnifica	46
558886	Magnetrons	Inventum MN325CS	719
561421	Magnetrons	Samsung MS28J5215AB/EN	661
567701	Strijkijzers	Philips GC9640/60 PerfectCare Elite Silence	453
569354	Magnetrons	Inventum MN207S	194
571018	Wasmachines	Bosch WNAT323471NL	116
572677	Digitale camera's compact	Nikon Coolpix P900	964
572770	Wasmachines	Samsung WW80J6400CW EcoBubble	164
579958	Wasmachines	Siemens WMN16T3471	475
583338	Routers	TP-Link M7350	562
583989	Bodygrooms	Remington BHT250 Delicates & Body Hair Trimmer	877
584161	Magnetrons	Sharp R242INW	552
586374	Kabel converters	Apple USB-C naar USB Adapter	418
590114	Deurbellen	Ring Video Doorbell Grijs	416
604602	Koffieapparaten Espresso Volautomatisch	Krups EA8150 koffiezetapparaat	138
605188	Koffieapparaten Espresso Halfautomatisch	Solis Grind & Infuse Pro 115	294
608819	Harde schijven extern	Seagate Expansion Portable 1 TB	379
608826	Harde schijven extern	Seagate Expansion Portable 2 TB	742
611902	Wifi-repeaters	TP-Link RE450	233
613739	Wasdrogers	Siemens WT44E177NL iQ300 iSensoric	875
613881	Rookmelders	Nest Protect V2 (Netstroom)	396
613910	Rookmelders	Nest Protect V2 (Batterij)	41
613920	IP-camera's	Nest Cam Indoor	399
614870	Racesturen	Logitech G29 Driving Force	110
615041	Racesturen	Logitech G920 Driving Force	451
615747	Koffieapparaten Espresso Volautomatisch	Jura E60 Piano Black	152
617238	Wasdrogers	Bosch WTE84105NL	288
620867	Rugzakken	The North Face Borealis Classic TNF Black/Asphalt Grey	283
623480	Kookplaten	Bosch PKF645B17E	557
624459	Speakers Bluetooth	JBL Xtreme Zwart	865
632657	Deurbellen	Ring Video Doorbell Brons	401
644460	Scheerapparaten	Philips Series 5000 Aquatouch S5420/06 	575
648317	Mobiele telefoons	Apple iPhone 6s 32 GB Space Gray	177
650303	Monitoren	Philips 223V5LHSB2/00	823
650764	Mediaspelers	Apple TV HD - 32 GB	672
652141	Boormachines	Makita DF457DWE Accuboormachine	802
652783	Mediaspelers	Google Chromecast 3 Zwart	9
653880	Smart lampen	Philips HUE Lightstrip Plus 2 Meter NIEUW	499
653900	bridges	Philips HUE Bridge NIEUW	587
662019	Scheerapparaten	Philips Series 9000 S9711/31	990
665664	Printers	Canon PIXMA MG5750	48
667905	Muizen	Apple Magic Mouse 2	623
671521	Ovens	Siemens CM676GBS1	851
671720	Thermostaten	Nest Learning Thermostat (3e generatie)	32
671853	Wasmachines	Bosch WAW32642NL i-DOS	506
673324	Styli	Apple Pencil	524
675872	Kookplaten	Bosch PIE611BB1E	713
677682	slimme horloges	Garmin Forerunner 235 HRM Zwart/Grijs	191
677688	slimme horloges	Garmin Forerunner 235 HRM Zwart/Marsala rood	955
685135	Kookplaten	Siemens EH645BFB1E	860
686235	Koelkasten	Samsung RB37J5018SA	431
687707	Wasdrogers	Bosch WTG86400NL	304
688841	Robotstofzuigers	iRobot Roomba 605	685
691988	Vriezers	Liebherr GP 1486-20	604
692264	Rookmelders	Smartwares FSSCO-15 Brandbeveiligingsset	908
692615	Consoles	Nintendo Switch Grijs	126
693246	Wasmachines	Bosch WAN28242NL	226
699358	Harde schijven extern	Seagate Expansion Portable 4 TB	747
